,User votes
1318,25 votes
1319,29 votes
1320,"76,522 votes"
1321,"14,135 votes"
1322,"87,394 votes"
1323,211 votes
1324,"112,177 votes"
1325,944 votes
1326,545 votes
1327,388 votes
1328,17 votes
1329,"34,180 votes"
1330,280 votes
1331,"5,137 votes"
1332,60 votes
1333,"55,103 votes"
1334,"60,885 votes"
1335,"41,813 votes"
1336,"18,915 votes"
1337,789 votes
1338,"3,877 votes"
1339,"3,810 votes"
1340,"12,643 votes"
1341,"1,338 votes"
1342,"151,031 votes"
1343,"24,861 votes"
1344,"1,637 votes"
1345,511 votes
1346,"2,451 votes"
1347,"537,582 votes"
1348,"43,620 votes"
1349,43 votes
1350,"4,340 votes"
1351,"221,545 votes"
1352,403 votes
1353,"4,851 votes"
1354,"11,971 votes"
1355,"1,104 votes"
1356,483 votes
1357,"2,127 votes"
1358,"103,657 votes"
1359,"31,530 votes"
1360,"50,410 votes"
1361,535 votes
1362,"2,986 votes"
1363,452 votes
1364,"2,539 votes"
1365,622 votes
1366,25 votes
1367,"1,669 votes"
1368,699 votes
1369,"3,506 votes"
1370,"7,918 votes"
1371,8 votes
1372,"3,580 votes"
1373,"47,904 votes"
1374,159 votes
1375,734 votes
1376,"214,731 votes"
1377,"3,241 votes"
1378,114 votes
1379,"1,685 votes"
1380,"339,925 votes"
1381,405 votes
1382,"103,354 votes"
1383,"1,012 votes"
1384,"4,106 votes"
1385,"11,635 votes"
1386,226 votes
1387,"60,911 votes"
1388,544 votes
1389,295 votes
1390,774 votes
1391,"2,345 votes"
1392,141 votes
